Szövegszerzők és források
ÁCS Ferenc (1680-1747)	288.
ADAMS, Sarah Flower (1805-1843)	216.
AHRENS, Wilhelm (1893)	344.
ALBERT, Heinrich (1604-1651)	350.
ALBRECHT, porosz herceg (1490-1568)	279.
ALEXANDER, Cecil Frances (1823-1895)	116, 250.
ALLEN, Freda Hanbury	104.
ALLENDORF, Johann Ludwig (1693-1773)	253.
ÄMILIE Juliane schwarzburg-rudolfstadti grófnő (1637-1706)	244.
ANNON1, Hieronymus (1697-1770)	259.
APELLES von Löwenstern, Matthäus (1594-1648)	16.
APPEL, W. (1893)	314.
ARNDT, Julius Karl (1820-1888)	185.
BAKER, Hénry (1821-1877)	7.
BAKER, H. W. (1868)	111.
BALASSA Bálint (1554-1594)	171, 263.
BÁTORI István (1749-1833)	383.
BAXTER, Lillian (1809-1874)	184, 207.
BELDEN, Franklin E. (1858-1945)	257, 392.
BENNETT, S. F. (1908)	153.
BÉZA, Theodore (1519-1605)	13, 14, 39, 46, 49, 64, 65, 66, 67, 68, 272, 307.
BIENEMANN, Kaspar (1540-1591)	278.
BLISS, Philip P. (1838-1876)	125, 182, 301.
BOGATZKY, Karl Heinrich (1690-1774)	291.
BOLTON, Fannie E.	215.
BONAR, Horatius (1808-1889)	227, 236.
BOWRING, John (1792-1872)	124.
BROMEHEAD, Joseph	146.
BROOKS, Phillips (1868)	94.
BUDAI Ézsaiás (1766-1841)	384.
CENNICK, John (1718-1755)	135.
CLAUDIUS, Matthias (1740-1815)	376.
CLAUSNITZER Tobias (1618-1684)	316.
CODNER, Elizabeth (1860)	165.
COGHILL, Anna L. (1861)	292.
CORELLI, Marie	372.
COWPER, William (1731-1800)	56, 132, 246.
CRASSELIUS, Bartholomäus (1677-1724)	19.
CROSBY, Fanny Jane (1823-1915)	23, 187, 222, 269.
CUSHING, William O. (1823-1902)	150.
DAVID (Hertel) Ferenc (1520 ?-1579)	321.
DECIUS, Nikolaus (1485-1546)	2.
DODDRIDGE, Philip (1702-1751)	356.
EDMESTON, James (1791-1867)	6, 345.
ELEONORE reuszi hercegnő (1835-1903)	382.
ELLERTON, John (1870)	335.
ELLIOTT, Charlotte (1789-1871)	177.
FABER, Frederick W. (1854)	54.
FAWCETT, John (1782)	311.
FEATHERSTONE, William Ralf	213.
FITCH, Charles	231.
FITCH, E. T.	334.
FLEMMING, Paul (1609-1640)	233.
FÖLDVÁRI József (1766-1830)	323.
FRANCK, Johann (1618-1677)	226, 362.
FRANZ, Ignaz (1719-1790)	5.
FREYLINGHAUSEN, Johann Anastasius (1670-1739)	79.
FREYSTEIN, Johann Burchard (1671-1718)	299.
GARVE, Karl Bernhard (1763-1841)	219.
GEBHARDT, Heinrich Ernst (1832-1899)	333.
GELLERT, Christian Fürchtegott (1715-1769)	29, 61, 93, 151, 203, 282.
GERHARDT, Paul (1607-1676)	21, 45, 59, 114, 121, 122, 143, 248, 252, 280, 342, 367, 368, 377.
GESENIUS, Justus (1601-1671)	117.
GILMORE, J. H. (1862)	217.
GRAMANN, Johann (1487-1541)	47.
GRANT Róbert (1779-1838)	36.
GREGOR, Christian (1723-1801)	332.
GÜNTHER, Cyriakus (1650-1705)	101.
HALL, Elvina M.	214.
HAMMOND, William (1719-1783)	315.
HARTSOUGH, Lewis (1828-1919)	195.
HARTYANI Imre (1566 előtt)	174.
HASTINGS, Horace L. (1873)	386.
HAUSMANN, Julie Katharine (1826-1901)	208.
HAVERGAL, Frances Ridley (1836-1879)	85, 190, 212, 234.
HEBER, Reginald (1783-1826)	10, 134.
HEERMANN, Johann (1585-1647)	186, 232.
HELD, Heinrich (1620-1659)	87, 163.
HELMBOLD, Ludwig (1532-1598)	274.
HENSEL, Luise (1798-1876)	378.
HERBERGER, Valerius (1562-1627)	224.
HERMAN, Nikolaus (1480 ?-1561)	91, 380.
HERRNSCHMIDT, Johann Daniel (1675-1723)	8, 201.
HERZOG, Johann Friedrich (1647-1699)	379.
HILLER, Philipp Friedrich (1699-1769)	58, 140, 229, 266.
HOFFMANN, Heinrich August von Fallersleben (1798-1874)	78.
HOMBURG, Ernst Christian (1605-1681)	118.
HOW, William Walsham (1823-1897)	57, 189.
HUNTER, William (1811-1877)	105.
HUSZÁR Gál (mh. l575)	326.
ISTVÁN deák (1566 előtt)	41.
JESZENSZKY Károly (1890)	251.
KEBLE, John (1792-1866)	371.
KEIMANN, Christian (1607-1662)	225.
KELLY, Thomas (1769-1854)	73, 141, 148.
KEY, Francis Scott	82.
KNAK, Gustav Friedrich (1806-1878)	387.
KNAPP, Albert (1798-1864)	388, 389.
KNORR von Rosenroth, Christian (1636-1689)	347.
KOSZTA János	137.
KRAUSE Jonathan (1701-1762)	348.
LAMPE, Friedrich Adolf (1683-1729)	211.
LAWSON, James (1886)	202.
LENGYEL József (1770-1822)	22, 98, 169, 188, 319, 325.
LÉVAY József (1825-1918)	53.
LIEBICH, Ehrenfried (1713-1780)	183.
LONGFELLOW, Samuel (1859)	352.
LORENZ, E. S. (1890-?)	63.
LOSONTZI István (1709-1780)	197, 355, 357, 364.
LÖSCHER, Valentin Ernst (1673-1749)	349.
LUTHER, Márton (1483-1546)	89, 92, 156, 262, 283, 285, 303, 305.
LYTE, Henry F. (1793-1847)	18, 249, 381.
MACKAY, Margaret (1832)	393.
MACKAY, William Paton (1886)	17.
MARCH, Daniel (1816-1909)	295.
